search_word,users,total_events,unique_events
Sergio Vargas-Zesati,2,3,3
1993 to 2013,2,2,2
Yamanouchi,2,2,2
iceberg,2,2,2
MMP,2,2,2
Snow depth,2,2,2
dissolved oxygen,2,2,2
leconte glacier,2,2,2
trace elements,2,2,2
caco3,2,3,2
paleo,2,3,2
metal,2,4,3
NABOS 2015,2,2,2
ROMS,2,5,5
sediment grain size,2,2,2
AOTIM,2,2,2
2004 to 2013,2,2,2
geotiff,2,2,2
North Pole,2,2,2
"Ice sheet and ice cap firn core physical and chemical stratigraphy, Disko Bay region, GreenLand, 2014-2015",2,3,3
2011 to 2021,2,2,2
aod,2,3,3
2012 to 2014,2,2,2
QGreenland,2,4,3
KAP,2,3,3
colleen,2,3,3
mining,2,2,2
2020 to 2021,2,2,2
PacMARS,2,2,2
yukon river,2,2,2
Miles,2,11,9
DBO1,2,2,2
decapod,2,3,3
resource_map_urn:uuid:90f47c62-3289-4e8b-9bfc-b6788a5c3d8d,2,2,2
A2VX06340,2,5,4
melting,2,2,2
Angot,2,2,2
Michael DeGrandpre,2,2,2
brendan,2,2,2
Feng Sheng Hu,2,2,2
ViPER,2,5,5
pollen,2,5,4
2009 to 2012,2,5,3
plankton,2,2,2
detlev,2,2,2
video,2,3,2
bowhead,2,2,2
mcknight,2,5,4
1546024,2,2,2
chlorophyll,2,2,2
carbon fluxes,2,2,2
Donald,2,3,3
briner,2,2,2
miege,2,2,2
1972 to 1972,2,2,2
before present,2,2,2
trace element,2,2,2
D4,2,3,3
1999 to 2016,2,2,2
arctic LTER,2,2,2
HLY0801,2,3,2
lynn,2,3,2
copepod,2,3,2
DeRepentigny,2,2,2
geotraces,2,2,2
spada,2,4,3
2009 to 2016,2,2,2
Amon,2,2,2
1800 to 2017,2,2,2
2012 to 2015,2,2,2
2003 to 2013,2,2,2
weintraub,2,4,3
Straneo,2,3,3
Steven Oberbauer,2,3,3
satellite,2,2,2
PacMars,2,2,2
kite aerial,2,2,2
harris,2,3,3
Noone,2,3,3
weather station,2,2,2
1989 to 2019,2,2,2
tree,2,3,3
stabeno,2,2,2
best,2,4,4
Halliday,2,4,4
nicewonger,2,2,2
1996 to 2014,2,2,2
ian,2,3,3
li,2,2,2
mineral,2,2,2
rebecca woodgate,2,2,2
ernakovich,2,2,2
squirrel,2,2,2
nims,2,7,2
shorebirds,2,3,3
1900 to 2020,2,5,3
underwater,2,2,2
2003 to 2016,2,2,2
walden,2,6,5
vulcan creek,2,2,2
npeo,2,3,3
Holmes,2,2,2
covington,2,2,2
alkire,2,2,2
Alkire,2,2,2
Jennie McLaren,2,3,2
council,2,2,2
arctic-data.9376.1,2,4,3
Jones,2,2,2
Dye,2,2,2
Jahn,2,3,3
2013 to 2014,2,5,3
UHI,2,2,2
Donald Perovich,2,2,2
spectral albedo,2,3,3
Cho,2,3,3
suspended,2,2,2
global,2,4,3
"Summit, greenland",2,3,3
Steinberg,2,3,2
dissolved organic carbon,2,2,2
kite,2,7,4
pops,2,2,2
tif,2,8,6
1800 to 1824,2,5,3
reusch,2,12,9
human,2,2,2
foxden,2,2,2
longwave,2,3,3
bering,2,5,4
aerosol,2,2,2
2002 to 2016,2,2,2
ITP,2,2,2
mjolnir,2,3,3
ALISS,2,2,2
atmosphere,2,2,2
emissions,2,2,2
ice thickness,2,2,2
wright,2,4,4
benjamin jones,2,2,2
gas,2,2,2
Sergio Vargas,2,4,4
EARTH SCIENCE > OCEANS > OCEAN CIRCULATION > OCEAN CURRENTS,2,2,2
Bering Sea,2,3,3
bromine,2,2,2
williams,2,3,3
north slope,2,2,2
shrub ring,2,2,2
HLY0901,2,2,2
1997 to 2016,2,2,2
pope,2,2,2
radiosonde,2,3,3
mcculloch,2,2,2
water quality,2,3,3
1998 to 2015,2,9,5
arctic temperature,2,2,2
Ina Timling,2,3,3
flanner,2,11,11
urn:uuid:b6d679c3-003b-4b37-8cc2-5def8eb7681a,2,2,2
tide model,2,3,3
Alison Paulson,2,2,2
BASIS,2,3,2
Andrey Petrov,2,2,2
1802 to 2020,2,2,2
ALT,2,2,2
topography,2,2,2
Kolyma,2,3,2
1987 to 2019,2,2,2
fuel,2,2,2
kugo,2,7,7
Harms,2,2,2
tidal atlas,2,5,3
benthic sampling,2,2,2
london,2,3,3
Holland,2,4,4
greentracs,2,2,2
active layer depth,2,2,2
HLY0601,2,3,2
Giesbrecht,2,3,2
HLY0802,2,2,2
fulweber,2,2,2
2006 to 2013,2,2,2
LeConte,2,2,2
climate change,2,3,2
carbon isotope,2,2,2
O-buoy,2,2,2
climatologyMeteorologyAtmosphere,2,2,2
huslia,2,2,2
kotzebue,2,3,3
1995 to 2019,2,2,2
"Svalbard, Norway",2,2,2
jessica,2,6,6
isotope,2,3,3
Helmig,2,5,5
martin,2,4,4
productivity,2,2,2
thomas wright,2,2,2
surface,2,2,2
seal,2,2,2
infauna,2,2,2
eddy,2,2,2
arctic rivers,2,2,2
1990 to 2014,2,2,2
air,2,2,2
GISP,2,2,2
EARTH SCIENCE > BIOSPHERE > VEGETATION > PLANT PHENOLOGY,2,2,2
Yukon river,2,2,2
tundra,2,2,2
ARCSEES-LCLUC,2,2,2
1800 to 2015,2,2,2
gpr,2,4,3
pratt,2,3,3
http://purl.dataone.org/odo/ECSO_00000636,2,4,2
melt ponds,2,2,2
1997 to 2018,2,2,2
xlsx,2,2,2
Kuskokwim,2,2,2
USCGC,2,4,3
lagoon,2,2,2
2010 to 2013,2,3,2
ais,2,2,2
1822406,2,4,4
MOORING,2,10,6
igor,2,2,2
2011 to 2012,2,2,2
Arctic Tides,2,3,2
Beaufort Sea,2,5,3
2006 to 2016,2,2,2
welker,2,5,5
Ian baker,2,2,2
wtd,2,7,3
tobias,2,13,13
Arctic Bottom Pressure Recorder,2,3,2
BLE,2,4,2
1825 to 2020,2,2,2
shepherd,2,3,2
tides,2,2,2
Clement Miege,2,2,2
Toolik Lake,2,4,4
tunu,2,3,3
tedesco,2,3,2
language,2,2,2
Clément Miège,2,2,2
NABOS II,2,3,3
1990 to 2018,2,2,2
1994 to 2014,2,2,2
1959 to 2020,2,2,2
iabp,2,2,2
Acoustic,2,2,2
2013,2,4,3
BGOS,2,3,3
indigenous,2,3,3
1996 to 2018,2,2,2
Plantae,2,2,2
1504224,2,2,2
1980 to 2020,2,2,2
Asbjørnsen,2,2,2
2020 to,2,2,2
1995 to 2014,2,2,2
rowan,2,3,3
daanen,2,2,2
2009 to 2015,2,2,2
tilt,2,3,3
GPR,2,5,5
2007 to 2007,2,4,3
1998 to 2014,2,2,2
ULS,2,2,2
macferrin,2,4,3
2014 to 2014,2,4,2
food,2,2,2
stroeve,2,2,2
parr,2,2,2
Sonic Layer Depth,2,2,2
sst,2,4,4
lter,2,2,2
Arctic tides,2,2,2
Ludwig,2,2,2
geotechnical,2,2,2
Moore,2,3,3
Saltzman,2,2,2
Colin Edgar,2,3,3
AOTIM5,2,4,3
bennartz,2,3,3
siberia,2,3,2
hana,2,8,5
http://purl.dataone.org/odo/ECSO_00001231,2,2,2
Morison,2,2,2
ble-lter,2,2,2
2007 to 2015,2,2,2
craig,2,2,2
light,2,2,2
multispectral,2,2,2
Vulcan Creek,2,3,3
1803 to 2020,2,2,2
Skip Walker,2,2,2
lortie,2,2,2
ouyang,2,2,2
shipping,2,2,2
hewitt,2,3,3
sea level,2,2,2
2007 to 2010,2,3,2
ch4,2,2,2
Vladimir Romanovsky,2,5,3
2008 to 2016,2,2,2
beryllium,2,3,2
2005 to 2016,2,2,2
greenland ice sheet,2,2,2
Sue Natali,2,2,2
arctic report card,2,2,2
fisheries,2,2,2
2009 to,2,2,2
float plane,2,3,3
bear,2,2,2
miniflux,2,2,2
1990 to 2016,2,2,2
kling,2,3,3
thule,2,3,2
ground penetrating radar,2,2,2
2001 to 2019,2,2,2
bottom,2,4,4
2005 to 2013,2,2,2
michael,2,2,2
Reusch,2,6,6
DeGrandpre,2,3,3
Zhangxian,2,2,2
HLY0702,2,4,2
dunton,2,3,3
CALM,2,4,3
2001 to 2016,2,2,2
arctic circle,2,2,2
Lewis,2,5,5
2016 to 2016,2,2,2
switchyard,2,3,2
steinberg,2,28,20
spatialVector,2,2,2
2007 to 2008,2,3,3
carbon dioxide fluxes,2,7,4
2019 to,2,2,2
SOIL TEMPERATURE,2,2,2
2008 to 2011,2,2,2
Baumann,2,4,4
paeri,2,2,2
cahill,2,3,3
1638402,2,2,2
pilot station,2,2,2
permafrost depth,2,2,2
NAGAP,2,3,2
bradley,2,2,2
2013 to 2017,2,2,2
photos,2,3,3
camill,2,5,5
arndt,2,3,3
NGRIP,2,3,2
economic,2,2,2
Long,2,2,2
mayewski,2,2,2
Claudia Czimczik,2,2,2
SNOW WATER EQUIVALENT,2,2,2
coastal,2,4,3
aws,1,1,1
oil spills,1,1,1
Biological response to recent Pacifi c Arctic Sea ice retreats,1,1,1
bolton,1,1,1
miller: helhein,1,1,1
Lorraine Ahlquist,1,2,2
"D.A, Walker",1,1,1
Yankovsky,1,1,1
kangerdlugssuaq,1,1,1
"temperature, salinity",1,1,1
schiefer,1,1,1
Circulation water,1,1,1
dna,1,1,1
NPEO ULS,1,1,1
http://purl.dataone.org/odo/ECSO_00002799,1,1,1
AT,1,1,1
vulcan,1,1,1
http://dx.doi.org/10.15770/EUM_SAF_OSI_0004,1,1,1
MCCULLOCH,1,1,1
1800 to 2021,1,1,1
Gubanov,1,2,2
Wegmann,1,1,1
Konza grassland data,1,1,1
Payette,1,1,1
Botnen,1,1,1
Edmond,1,1,1
taku glacier tim bartholomaus,1,1,1
14C phytoplankton,1,1,1
10.18739/A2N37R,1,3,2
Walden,1,1,1
Rinnan,1,1,1
Palacios,1,1,1
1824 to 2020,1,1,1
1960 to 2019,1,1,1
Dreschhoff,1,1,1
sarah crump,1,1,1
liston,1,1,1
lake data,1,1,1
canis,1,1,1
Multispectral,1,1,1
M. Torre Jorgenson,1,1,1
Tonboe,1,1,1
ascii,1,1,1
bulk density,1,2,1
EARTH SCIENCE > BIOSPHERE > AQUATIC ECOSYSTEMS > PLANKTON > PHYTOPLANKTON,1,1,1
greenland temperatures,1,1,1
Mats,1,1,1
2004 to 2007,1,1,1
Tabata,1,1,1
Lisa Rennels,1,1,1
Ian nesbit,1,1,1
CURRY,1,1,1
sipler,1,1,1
Ozone,1,1,1
Torseth,1,1,1
routes,1,1,1
1900 to 2019,1,1,1
ocean tide,1,1,1
red,1,1,1
Arctic sea ice,1,1,1
Temprature,1,1,1
1981 to 2018,1,1,1
Jesse,1,1,1
1991 to 2013,1,1,1
