Page,Users,Sessions,Pageviews,Unique Pageviews,Bounce Rate,Entrances,Users % of Total
/view/arctic-data.6238.1,10,5,22,17,0.8,5,0.015209
/view/urn:uuid:bea82705-5ef8-47db-a38b-f11be53602d7,10,2,12,11,1,2,0.015127
/view/doi:10.18739/A21074,10,7,25,15,0.142857143,7,0.015046
/view/arctic-data.6158.2,10,2,18,13,0.5,2,0.014965
/view/urn:uuid:5f9a5cef-52cd-4510-9b8d-481ad3a0cc71,10,1,20,12,0,1,0.014886
/view/urn:uuid:5f14fe21-6cef-4fe1-a4e2-a331cb248be5,10,4,30,17,0.25,4,0.014808
/view/arctic-data.9422.1,10,8,29,20,0.25,8,0.014731
/view/doi:10.18739/A2D934,10,7,22,16,0.857142857,7,0.014654
/view/arctic-data.6196.1,10,5,23,20,0,5,0.014579
/view/doi:10.18739/A2MP8P,10,13,27,22,0.692307692,13,0.014504
/view/doi:10.18739/A29S7J,10,4,23,12,0.25,4,0.014431
/view/arctic-data.6228.1,10,1,32,21,0,1,0.014358
/view/arctic-data.2372.1,10,1,17,13,1,1,0.014286
/view/doi:10.5065/D6H70CVR,10,7,17,15,0.428571429,7,0.014215
/view/doi:10.18739/A2ZM02,10,3,23,19,0.666666667,3,0.014144
/view/urn:uuid:ff45529d-83d2-437b-bf62-3484ff4a5b4c,10,2,37,27,0.5,4,0.014075
/view/urn:uuid:c1282fae-e36b-4f0f-a5b6-2ffc0ef8c060,10,1,13,12,1,1,0.014006
/view/arctic-data.9425.1,10,4,49,29,0.25,4,0.013938
/view/arctic-data.9452.2,10,1,28,17,0,1,0.013871
/view/doi:10.18739/A2NH1M,10,5,38,20,0.8,5,0.013804
/view/doi:10.18739/A2M362,10,4,27,18,0.25,4,0.013739
/view/urn:uuid:ae0969ce-3dc4-482b-a1cc-53fd58a83f4b,10,9,20,18,0.666666667,9,0.013674
/view/urn:uuid:30b0be14-e897-4b3b-a6e7-b5f3abc82714,10,95,117,107,0.894736842,95,0.013609
/view/urn:uuid:6c1718cd-52cd-4056-ba9b-e5069f6a8529,10,5,38,23,0.6,5,0.013546
/view/urn:uuid:3c2648b2-6e12-447f-804b-0c95378c89b0,10,1,17,16,1,1,0.013483
/view/arctic-data.9519.1.,10,19,33,25,0.105263158,19,0.01342
/view/arctic-data.9431.1,10,1,32,19,1,1,0.013359
/view/doi:10.18739/A2BW6H,10,3,16,11,1,3,0.013298
