event_label,users,total_events,unique_events
william cable,2,3,3
481.152,2,3,2
lake depth,2,2,2
aerosol,2,3,2
daa,2,2,2
ocean,2,2,2
Zona,2,2,2
Tunu,2,2,2
micropulse lidar,2,2,2
Hopcroft,2,2,2
LTER,2,2,2
environment,2,2,2
degai,2,2,2
brendan,2,2,2
Continuation,2,3,3
doi,2,3,2
McKnight,2,2,2
1986 to 1986,2,2,2
schauer,2,2,2
doi:10.18739/A2BW6H,2,6,5
eclipse,2,2,2
austin post,2,2,2
svalbard reu,2,2,2
Canada basin,2,2,2
doi:10.5065/D6319T0J,2,3,3
whoi,2,2,2
missing,2,2,2
Davis strait,2,2,2
rusalca,2,2,2
Stafford,2,5,5
hinkel,2,2,2
Roger Andersen,2,3,3
jana,2,4,4
.m,2,3,2
Stabeno,2,2,2
1976 to 2015,2,2,2
invertebrate,2,2,2
C3O,2,3,3
copepoda,2,2,2
1993 Roll 2,2,2,2
xlsx,2,2,2
orcid.org/0000-0001-8851-7386,2,2,2
1977 to 2015,2,3,2
CALON,2,2,2
GPP,2,3,2
Bering,2,2,2
alert,2,2,2
520287,2,4,3
481.155,2,2,2
annika,2,2,2
Peirce,2,6,6
Daanen,2,2,2
katey walter,2,3,3
velocity,2,5,3
matmann,2,2,2
Frost,2,5,5
Orcutt,2,2,2
urn:uuid:6ed8a311-6aaf-4944-90c7-104337ee77e3,2,3,3
1263854,2,3,3
1986 to 2015,2,2,2
PacMARS,2,2,2
cadis,2,2,2
1142145,2,3,3
nabos,2,2,2
1988 to 2017,2,3,3
SBI,2,2,2
hajo eicken,2,3,3
APP,2,3,2
roger andersen,2,3,2
model output,2,3,3
2007 to 2014,2,2,2
roll 1,2,2,2
martin truffer,2,2,2
glaciers,2,3,2
Rajagopalan,2,2,2
Atqasuk,2,3,2
MacInnes,2,2,2
doi:10.18739/A2733H,2,3,3
height,2,2,2
friedman,2,5,4
IARC,2,2,2
matthew evans,2,2,2
doi:10.18739/A2763J,2,4,4
cresis,2,2,2
1108571,2,2,2
#32,2,2,2
dahl,2,2,2
hly1203,2,3,2
Dijken,2,2,2
holmes,2,3,3
meteo,2,2,2
EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > GLACIERS/ICE SHEETS > GLACIERS,2,2,2
O-Buoy2,2,2,2
may,2,3,3
DBO6,2,3,2
carbon cycle,2,2,2
2016 to 2018,2,2,2
Kling,2,2,2
2004 to 2017,2,2,2
kessler,2,3,3
air quality,2,3,3
Tank,2,4,3
North Pole Environmental Observatory,2,4,3
Glacier,2,6,4
doi:10.5065/D67942VR,2,4,4
seal,2,2,2
wildfire,2,2,2
silene,2,2,2
denali,2,2,2
1972,2,5,3
welker,2,2,2
Truffer,2,2,2
1980 to 2015,2,2,2
Beth Orcutt,2,2,2
plankton,2,2,2
Ice Tethered Profiler Biogeochemical Time Series Data,2,2,2
UpTempO,2,4,4
glisn,2,2,2
2006 to 2010,2,2,2
nitrate,2,3,3
bottle data,2,3,3
rigor,2,2,2
doi:10.18739/A2503V,2,3,3
2013 to 2012,2,4,2
.R,2,4,4
DOC,2,2,2
halfacre,2,2,2
DBO5,2,5,3
shipping routes,2,2,2
zooplankton genetics,2,3,3
2010 to 2012,2,4,3
1800 to 1950,2,2,2
1800 to 1900,2,2,2
me,2,2,2
doi:10.18739/A2F608,2,4,4
mayer,2,2,2
primary productivity,2,2,2
